specification,retained_2024,countries_2024,china_india_share_2024,denominator_certain_2024,denominator_uncertain_2024,jaccard_vs_primary_q75_2024,overlap_with_primary_count_2024,spearman_deficit_score_vs_primary_2024,draw,w_demand,w_hazard,w_urban_form
dirichlet_0013,653,72,0.445635528330781,193,460,0.46368715083798884,415,0.9715220787864504,13,0.5109360589990555,0.47327946186677045,0.015784479134174075
dirichlet_0014,770,72,0.4662337662337662,277,493,0.3299161230195713,354,0.9520814349250957,14,0.7671649085072366,0.22789139573034703,0.004943695762416349
dirichlet_0015,561,84,0.47593582887700536,118,443,0.3747178329571106,332,0.9595847791765001,15,0.10638512917371482,0.6745264497563529,0.21908842106993234
dirichlet_0016,696,81,0.35344827586206895,211,485,0.604982206405694,510,0.9561964002195917,16,0.42670143799468957,0.15593575885196947,0.41736280315334107
dirichlet_0017,716,88,0.3659217877094972,186,530,0.7227101631116688,576,0.9697600027565678,17,0.28156315656993436,0.2723102189307724,0.44612662449929325
dirichlet_0018,661,74,0.3524962178517398,245,416,0.41416309012875535,386,0.9358131348165235,18,0.687457525029788,0.03488141314159353,0.27766106182861855
dirichlet_0019,528,79,0.4962121212121212,108,420,0.30363036303630364,276,0.9515277653235497,19,0.14393590854172053,0.8104106670064636,0.04565342445181587
dirichlet_0020,681,80,0.3436123348017621,222,459,0.5432525951557093,471,0.9481430958756444,20,0.49787484105681346,0.10088267028784674,0.40124248865533974
dirichlet_0021,693,85,0.38095238095238093,197,496,0.4983351831298557,449,0.9476261176780002,21,0.36165846274307495,0.050173853938333395,0.5881676833185916
dirichlet_0022,704,73,0.3821022727272727,258,446,0.3958974358974359,386,0.9401863629502469,22,0.7162317270217957,0.08197175554690611,0.2017965174312981
dirichlet_0023,596,88,0.41946308724832215,127,469,0.5450061652281134,442,0.9705396055266368,23,0.156910329149496,0.526352263777899,0.3167374070726049
dirichlet_0024,731,98,0.3898768809849521,160,571,0.5005405405405405,463,0.971282618625669,24,0.028645941612022094,0.33106468904978315,0.6402893693381946
dirichlet_0025,706,73,0.3980169971671388,262,444,0.363,363,0.9381054360675908,25,0.7618214807675552,0.07044280103804229,0.1677357181944025
dirichlet_0026,651,78,0.4485407066052227,179,472,0.5334114888628371,455,0.9738051332182206,26,0.367450472058624,0.4861590137940559,0.1463905141473201
dirichlet_0027,660,85,0.3878787878787879,170,490,0.6928020565552699,539,0.9747225715472282,27,0.2820068546157384,0.41763187408100255,0.300361271303259
dirichlet_0028,632,95,0.40348101265822783,125,507,0.49709639953542395,428,0.9683518771172791,28,0.005673576930834825,0.48143515982668755,0.5128912632424777
dirichlet_0029,711,85,0.36146272855133615,202,509,0.6521739130434783,540,0.9626201830028815,29,0.3440753992729071,0.1972439145528068,0.4586806861742862
dirichlet_0030,673,94,0.3922734026745914,150,523,0.5393518518518519,466,0.9717319333143274,30,0.05470903169311349,0.4115631674256677,0.5337278008812189
dirichlet_0031,759,95,0.3794466403162055,173,586,0.4188376753507014,418,0.9636671120336846,31,0.010077174908361368,0.12880936106905083,0.8611134640225879
dirichlet_0032,680,72,0.38529411764705884,262,418,0.35736040609137054,352,0.931339829849108,32,0.7903541483919198,0.00885891814755902,0.20078693346052115
dirichlet_0033,606,78,0.45874587458745875,157,449,0.47719298245614034,408,0.9723689521381149,33,0.3416752006836225,0.5432649954344222,0.11505980388195537
dirichlet_0034,604,69,0.47516556291390727,156,448,0.42325056433408575,375,0.970975986580197,34,0.4150997640890902,0.5826231725047215,0.0022770634061882707
dirichlet_0035,648,91,0.39969135802469136,142,506,0.5934065934065934,486,0.9725208324937339,35,0.10072122677513583,0.42967136586369353,0.4696074073611706
dirichlet_0036,730,89,0.39315068493150684,200,530,0.5010822510822511,463,0.9522130500987096,36,0.291143692430039,0.06987585100601523,0.6389804565639458
dirichlet_0037,678,92,0.39085545722713866,150,528,0.5541327124563445,476,0.9720159067375823,37,0.06622976550792894,0.4113315770240458,0.5224386574680252
dirichlet_0038,687,82,0.34643377001455605,222,465,0.5203619909502263,460,0.9460192703300631,38,0.4531089007100659,0.06723747092077177,0.47965362836916253
dirichlet_0039,600,70,0.4766666666666667,153,447,0.4415137614678899,385,0.971452925015401,39,0.37289392919839254,0.5695367417519058,0.05756932904970184
dirichlet_0040,689,83,0.35268505079825835,217,472,0.5330296127562643,468,0.9477409490306014,40,0.4298362693695834,0.07573174441190875,0.49443198621850765
dirichlet_0041,738,73,0.4159891598915989,260,478,0.4133738601823708,408,0.9540208596700649,41,0.6759205972794771,0.2195547287116405,0.10452467400888245
dirichlet_0042,746,96,0.38605898123324395,187,559,0.3781925343811395,385,0.9559298993294428,42,0.04350532311053673,0.009115559299095011,0.9473791175903682
dirichlet_0043,740,74,0.40675675675675677,259,481,0.44169246646026833,428,0.9557015946327737,43,0.6435724008539211,0.22779005021310897,0.12863754893297014
dirichlet_0044,647,79,0.4482225656877898,174,473,0.535924617196702,455,0.9737719261065831,44,0.3529298168911097,0.4932147603099977,0.1538554227988926
dirichlet_0045,727,96,0.3741403026134801,174,553,0.5727272727272728,504,0.9721034987268516,45,0.12656409284080053,0.30997620410230575,0.5634597030568939
dirichlet_0046,745,90,0.3932885906040268,199,546,0.5042918454935622,470,0.9544720128784856,46,0.2670970350998017,0.0849709875133396,0.6479319773868587
dirichlet_0047,743,69,0.4576043068640646,288,455,0.28558310376492196,311,0.9344010120170042,47,0.9105849407986415,0.05351263210134455,0.03590242710001396
dirichlet_0048,745,94,0.38523489932885907,192,553,0.45284974093264246,437,0.9578654138537853,48,0.15804131553133163,0.08453787504448197,0.7574208094241865
dirichlet_0049,718,69,0.44846796657381616,286,432,0.27906976744186046,300,0.9293440870765773,49,0.9358476753980197,0.002088942316336521,0.06206338228564372
dirichlet_0050,691,84,0.3719247467438495,188,503,0.730423620025674,569,0.9729227261783164,50,0.3594619172485887,0.36391204783577846,0.2766260349156329
dirichlet_0051,623,84,0.4044943820224719,144,479,0.5980024968789014,479,0.9733766595777292,51,0.21000440471086806,0.4806482235682317,0.30934737172090016
dirichlet_0052,683,80,0.3411420204978038,221,462,0.5654205607476636,484,0.9522620922574321,52,0.5005301697156124,0.1407127776463316,0.3587570526380561
dirichlet_0053,738,93,0.3807588075880759,181,557,0.5727170236753101,508,0.9680139494154629,53,0.18533134549834426,0.2277346943797824,0.5869339601218735
dirichlet_0054,555,84,0.47927927927927927,114,441,0.3602693602693603,321,0.9592094961537093,54,0.1224244629115992,0.6873905249718079,0.1901850121165929
dirichlet_0055,672,79,0.34523809523809523,229,443,0.4766666666666667,429,0.9378585087160817,55,0.574783259664803,0.028265430663989722,0.3969513096712073
dirichlet_0056,620,80,0.45483870967741935,154,466,0.5058962264150944,429,0.972654297106905,56,0.27821768734313024,0.525603458121815,0.19617885453505485
dirichlet_0057,761,96,0.3823915900131406,178,583,0.45286885245901637,442,0.9645709332499159,57,0.05427613690311379,0.15327885786820958,0.7924450052286766
dirichlet_0058,766,98,0.3825065274151436,177,589,0.4670103092783505,453,0.9675888127546967,58,0.043996013486324176,0.20916661779023135,0.7468373687234444
dirichlet_0059,516,78,0.4748062015503876,98,418,0.2833698030634573,259,0.9468190458101591,59,0.04932814464115181,0.8279475640009323,0.12272429135791584
dirichlet_0060,703,84,0.35704125177809387,197,506,0.7548387096774194,585,0.9669941445022828,60,0.3744935683300304,0.2606393529078115,0.3648670787621583
dirichlet_0061,748,74,0.43716577540106955,270,478,0.37073170731707317,380,0.9515877820289018,61,0.718360049051911,0.20514184598526766,0.07649810496282147
dirichlet_0062,696,87,0.3706896551724138,177,519,0.7663185378590078,587,0.971883715190471,62,0.2867790559884229,0.3112995868964431,0.4019213571151339
dirichlet_0063,714,72,0.43137254901960786,231,483,0.47103004291845496,439,0.9656184565478622,63,0.5767970367866097,0.3412973262940926,0.08190563691929785
dirichlet_0064,515,80,0.4524271844660194,99,416,0.2508004268943437,235,0.9384754710982748,64,0.028787057532956704,0.9570975742994544,0.014115368167589005
dirichlet_0065,691,73,0.3950795947901592,261,430,0.3534136546184739,352,0.9347968600490821,65,0.7846039398898266,0.041621994223115494,0.17377406588705788
dirichlet_0066,700,78,0.3585714285714286,208,492,0.6488456865127582,534,0.9637879072933362,66,0.46955083641961126,0.25601756755925653,0.27443159602113226
dirichlet_0067,528,77,0.4753787878787879,108,420,0.2755651237890204,256,0.9468816811241436,67,0.1056867654737173,0.8612527599261312,0.03306047460015157
dirichlet_0068,763,98,0.3800786369593709,176,587,0.4760914760914761,458,0.9686092941233859,68,0.043796691148898774,0.23179618206731653,0.7244071267837847
dirichlet_0069,757,98,0.3817701453104359,177,580,0.4978813559322034,470,0.9690778563110634,69,0.06684151800411962,0.24098387821765965,0.6921746037782207
dirichlet_0070,707,85,0.3564356435643564,202,505,0.6674816625916871,546,0.9628228162689458,70,0.3623003211833709,0.2051254486244559,0.43257423019217334
dirichlet_0071,700,77,0.3514285714285714,236,464,0.5011061946902655,453,0.9478786974002948,71,0.6046745127439799,0.1293903786587362,0.26593510859728403
dirichlet_0072,672,83,0.3556547619047619,205,467,0.48824188129899215,436,0.9419391433760862,72,0.43918400677078095,0.02378147307087885,0.5370345201583402
dirichlet_0073,622,73,0.46141479099678456,162,460,0.45340909090909093,399,0.9721059356610243,73,0.398401349410894,0.549847906670523,0.051750743918583
dirichlet_0074,665,79,0.3443609022556391,223,442,0.4770949720670391,427,0.9374581552057217,74,0.5618924873716001,0.02109987676112411,0.41700763586727574
dirichlet_0075,722,73,0.40443213296398894,257,465,0.40284842319430314,396,0.948926323268613,75,0.6891342070009594,0.16497582307817807,0.14588996992086256
dirichlet_0076,717,94,0.3807531380753138,168,549,0.5866050808314087,508,0.9727732980896792,76,0.13174229583416877,0.3323423938319966,0.5359153103338345
dirichlet_0077,603,84,0.46102819237147596,136,467,0.46853146853146854,402,0.9691777329163085,77,0.19387762202102513,0.5688713230503358,0.237251054928639
dirichlet_0078,710,77,0.36901408450704226,252,458,0.431413612565445,412,0.944353797109114,78,0.6727976431527515,0.11287557535837005,0.21432678148887843
dirichlet_0079,678,88,0.3746312684365782,171,507,0.7405475880052151,568,0.974070199105621,79,0.2532522611024877,0.36345224900287204,0.3832954898946402
dirichlet_0080,745,73,0.44026845637583895,256,489,0.3867457962413452,391,0.95807764445167,80,0.6820809273921069,0.27590431991114117,0.042014752696751895
dirichlet_0081,674,74,0.3590504451038576,250,424,0.4069767441860465,385,0.935145257128178,81,0.7027131376485845,0.03152331778461424,0.2657635445668012
dirichlet_0082,729,75,0.401920438957476,228,501,0.5608108108108109,498,0.9650854717351207,82,0.5220076495377152,0.2996294581180979,0.17836289234418695
dirichlet_0083,757,92,0.3870541611624835,203,554,0.4978813559322034,470,0.9569075695224111,83,0.23124749859091193,0.09901801431321614,0.6697344870958719
dirichlet_0084,546,79,0.4725274725274725,121,425,0.3654937570942111,322,0.9611947190892014,84,0.18465379440779858,0.6879949830932389,0.1273512224989625
dirichlet_0085,676,76,0.34615384615384615,244,432,0.45524017467248906,417,0.9395760174401704,85,0.6520205570727411,0.06230805772673783,0.285671385200521
dirichlet_0086,666,76,0.43543543543543545,196,470,0.5528169014084507,471,0.9729577541979236,86,0.43452320987680043,0.4383497145398372,0.1271270755833623
dirichlet_0087,681,80,0.3392070484581498,229,452,0.5084554678692221,451,0.942166895616507,87,0.5444903836502629,0.059390938868619396,0.3961186774811176
dirichlet_0088,684,79,0.34502923976608185,225,459,0.5431530494821634,472,0.9494679000431431,88,0.5183812415143203,0.1194567255451332,0.3621620329405464
dirichlet_0089,597,91,0.4036850921273032,130,467,0.5635910224438903,452,0.9705501382483891,89,0.1335503004093486,0.513900779879535,0.35254891971111635
dirichlet_0090,656,76,0.4405487804878049,193,463,0.5410798122065728,461,0.9733770184008929,90,0.4179286491276737,0.46399455577192183,0.11807679510040443
dirichlet_0091,678,87,0.37610619469026546,172,506,0.7496723460026212,572,0.9741409521434096,91,0.2707003281098734,0.3693251238549929,0.3599745480351338
dirichlet_0092,672,76,0.43601190476190477,197,475,0.5562060889929742,475,0.97292054089065,92,0.4352928027702074,0.43598718999790714,0.1287200072318853
dirichlet_0093,748,73,0.4425133689839572,261,487,0.3788027477919529,386,0.9577240591494319,93,0.6904207934673116,0.2746015645907608,0.034977641941927685
dirichlet_0094,524,77,0.4904580152671756,106,418,0.28789531079607417,264,0.9485231409757854,94,0.13927687299068664,0.8558308457021919,0.004892281307121464
dirichlet_0095,731,98,0.3898768809849521,158,573,0.4892703862660944,456,0.971136314298908,95,0.017152146706929085,0.3369079792029008,0.6459398740901702
dirichlet_0096,748,98,0.3836898395721925,187,561,0.5026737967914439,470,0.9650978915681112,96,0.13369129873094535,0.17595516555502697,0.6903535357140279
dirichlet_0097,708,96,0.3884180790960452,152,556,0.5082872928176796,460,0.9716192660701448,97,0.036930883931443025,0.3526596494906502,0.6104094665779068
dirichlet_0098,728,94,0.37637362637362637,176,552,0.5993071593533488,519,0.9708227720849766,98,0.17224808721320028,0.27502217774086235,0.5527297350459375
dirichlet_0099,654,79,0.42966360856269115,171,483,0.5910194174757282,487,0.9744326519736684,99,0.30119697727538175,0.462910000268388,0.2358930224562302
dirichlet_0100,740,70,0.4445945945945946,284,456,0.3031716417910448,325,0.9365567031017527,100,0.8631207767590168,0.07071946688236559,0.06615975635861747
dirichlet_0101,755,73,0.45827814569536424,272,483,0.34220532319391633,360,0.9542446951106023,101,0.7418229644934731,0.247459145814565,0.010717889691961932
dirichlet_0102,686,92,0.38629737609329445,152,534,0.5855962219598583,496,0.9731540935150021,102,0.1129891266745909,0.3858599459871199,0.5011509273382891
dirichlet_0103,525,80,0.4838095238095238,98,427,0.30033003300330036,273,0.9481712239701392,103,0.036338948435470475,0.8003713323866202,0.16328971917790944
dirichlet_0104,685,84,0.36934306569343067,182,503,0.7383419689119171,570,0.9737500087580366,104,0.3329946714076311,0.3773629540585216,0.2896423745338472
dirichlet_0105,626,82,0.4472843450479233,154,472,0.5183431952662721,438,0.9726808864122841,105,0.2687682934296409,0.5225081468956587,0.20872355967470035
dirichlet_0106,763,97,0.37876802096985585,179,584,0.46542827657378744,451,0.9654408337185495,106,0.06260508819031593,0.16974450855233944,0.7676504032573447
dirichlet_0107,759,72,0.4598155467720685,281,478,0.3258426966292135,348,0.9488023936333023,107,0.7814037552513984,0.1912892026147805,0.02730704213382124
dirichlet_0108,679,85,0.37260677466863035,177,502,0.7695364238410596,581,0.9736959072313597,108,0.27847338585389164,0.3545644423948717,0.3669621717512367
dirichlet_0109,517,80,0.4526112185686654,99,418,0.24893617021276596,234,0.938603390324047,109,0.014410293448958012,0.9440920216327712,0.04149768491827069
dirichlet_0110,717,88,0.3905160390516039,190,527,0.444794952681388,423,0.946973139630702,110,0.26906830123256725,0.0019212586536037676,0.7290104401138291
dirichlet_0111,728,94,0.37637362637362637,176,552,0.5993071593533488,519,0.9708157537493475,111,0.17360282443221137,0.27495015714710297,0.5514470184206857
dirichlet_0112,705,85,0.3659574468085106,191,514,0.7350318471337579,577,0.9681128346305902,112,0.3237981888547217,0.2593589073528756,0.4168429037924026
dirichlet_0113,729,89,0.39231824417009603,201,528,0.5098039215686274,468,0.9533419615735628,113,0.2911607571104659,0.08176162505022934,0.6270776178393047
dirichlet_0114,605,77,0.46115702479338844,157,448,0.4725787631271879,405,0.9722141516715687,114,0.3466752106259712,0.5478712819177589,0.1054535074562698
dirichlet_0115,712,87,0.39325842696629215,197,515,0.46730975348338694,436,0.9452525374882372,115,0.31461794653614467,0.004989945227748452,0.680392108236107
dirichlet_0116,679,73,0.374079528718704,257,422,0.37448559670781895,364,0.9340130411350246,116,0.7511973925140657,0.02888799107862933,0.219914616407305
dirichlet_0117,676,79,0.41863905325443784,192,484,0.5983213429256595,499,0.9732247127369887,117,0.41025873893179643,0.4181592675968926,0.1715819934713111
dirichlet_0118,533,77,0.4971857410881801,117,416,0.328125,294,0.9552991491603376,118,0.19863693633840585,0.7828401380680218,0.018522925593572402
dirichlet_0119,627,90,0.4019138755980861,134,493,0.5950310559006211,479,0.9719408743723914,119,0.11191117143197538,0.46390162331825446,0.42418720524977016
dirichlet_0120,605,84,0.43471074380165287,134,471,0.5259975816203144,435,0.9708519195938409,120,0.18021162795215825,0.5311609076665337,0.28862746438130815
dirichlet_0121,757,69,0.46895640686922063,295,462,0.28428701180744775,313,0.9370930492543804,121,0.8973014415927754,0.08125785506957055,0.021440703337653955
dirichlet_0122,533,84,0.48405253283302063,107,426,0.3062568605927552,279,0.9510397795108733,122,0.11273574989504728,0.799944046263594,0.08732020384135863
dirichlet_0123,752,98,0.3803191489361702,175,577,0.498936170212766,469,0.9698159851695558,123,0.057788935204851864,0.25970022913343455,0.6825108356617136
dirichlet_0124,737,91,0.3880597014925373,194,543,0.5488888888888889,494,0.963066198045272,124,0.22493361154480884,0.16908975262000894,0.6059766358351821
dirichlet_0125,752,69,0.4720744680851064,292,460,0.2728093947606143,302,0.9357754740875756,125,0.9224586971362214,0.06983380813342618,0.007707494730352468
dirichlet_0126,654,90,0.38837920489296635,152,502,0.63875,511,0.9735809717702739,126,0.15005686154648043,0.42505150615480886,0.42489163229871085
dirichlet_0127,561,73,0.48484848484848486,137,424,0.3951890034364261,345,0.9660224012775023,127,0.2800314195111309,0.6538241125776109,0.06614446791125822
dirichlet_0128,524,81,0.4904580152671756,97,427,0.3064159292035398,277,0.9484309692278609,128,0.021166970177965042,0.7885931156791798,0.1902399141428551
dirichlet_0129,703,85,0.3669985775248933,191,512,0.7571059431524548,586,0.9716825353684019,129,0.36395268027723765,0.33466881482297994,0.3013785048997825
dirichlet_0130,737,69,0.46675712347354137,293,444,0.2672727272727273,294,0.9302532195649642,130,0.9586798179883441,0.012696888207792608,0.02862329380386329
dirichlet_0131,724,73,0.4074585635359116,264,460,0.3727634194831014,375,0.9437931714534228,131,0.7429998254174707,0.12452173522282843,0.13247843935970086
dirichlet_0132,760,98,0.38421052631578945,179,581,0.47758081334723673,458,0.9680171514358675,132,0.05670745508321026,0.21826292913191123,0.7250296157848785
dirichlet_0133,513,80,0.4522417153996101,98,415,0.25133689839572193,235,0.938249544202997,133,0.03289681201588838,0.9646744271852454,0.0024287607988662035
dirichlet_0134,653,75,0.35834609494640124,245,408,0.39658848614072495,372,0.9318743225920765,134,0.7233874467383733,0.004679401975749408,0.2719331512858775
dirichlet_0135,680,79,0.34411764705882353,229,451,0.5210466439135382,458,0.9463272607625566,135,0.5300313921085998,0.09348950532366672,0.3764791025677335
dirichlet_0136,753,94,0.3798140770252324,185,568,0.5376226826608506,493,0.9682841418807043,136,0.13278656602127786,0.22627168685863702,0.6409417471200852
dirichlet_0137,719,97,0.3852573018080668,166,553,0.547806524184477,487,0.9723903240042643,137,0.0856200649332623,0.3439102381075112,0.5704696969592266
dirichlet_0138,723,73,0.3969571230982019,249,474,0.4212152420185376,409,0.9487035004296527,138,0.6757681620956044,0.15856678188751644,0.16566505601687917
dirichlet_0139,685,78,0.3445255474452555,241,444,0.4878048780487805,440,0.9436263096871437,139,0.6067436280308259,0.08921198755001308,0.3040443844191611
dirichlet_0140,709,92,0.3695345557122708,171,538,0.6678876678876678,547,0.9732617320971129,140,0.1897693090437344,0.3354031075832103,0.4748275833730553
dirichlet_0141,745,96,0.3838926174496644,186,559,0.44238683127572015,430,0.9604568202308971,141,0.1166694978499693,0.10561767822492661,0.777712823925104
dirichlet_0142,690,76,0.34202898550724636,224,466,0.5464982778415615,476,0.9525813814401045,142,0.5459821480622968,0.1582503782435576,0.2957674736941455
dirichlet_0143,728,93,0.38186813186813184,185,543,0.5919540229885057,515,0.967034944213175,143,0.21982708935618686,0.21934696968886547,0.5608259409549476
dirichlet_0144,629,84,0.3990461049284579,148,481,0.631979695431472,498,0.9740278502414716,144,0.22449186550802783,0.4626868659426536,0.31282126854931847
dirichlet_0145,689,78,0.35268505079825835,208,481,0.6158463385354142,513,0.9599506931926455,145,0.4841967273374274,0.215352111908035,0.3004511607545377
dirichlet_0146,664,83,0.39006024096385544,174,490,0.6957637997432606,542,0.9744327493821021,146,0.3152552575789867,0.4028900902137481,0.28185465220726524
dirichlet_0147,684,80,0.3435672514619883,221,463,0.5449308755760369,473,0.9489929309558607,147,0.49749357502701314,0.1087104291885859,0.393795995784401
dirichlet_0148,665,91,0.39097744360902253,157,508,0.6401985111662531,516,0.9737452439024198,148,0.15205409835341832,0.4115918243973319,0.43635407724924974
dirichlet_0149,733,70,0.4542974079126876,249,484,0.3694581280788177,375,0.9604691669350857,149,0.6784068161342709,0.31055287184156566,0.01104031202416338
dirichlet_0150,658,70,0.44224924012158057,198,460,0.4742152466367713,423,0.9713279348232203,150,0.5141242861541009,0.4594493613399673,0.02642635250593182
dirichlet_0151,668,78,0.42664670658682635,186,482,0.5906362545018007,492,0.9741151838358657,151,0.3679451368350692,0.43935731794594546,0.19269754521898544
dirichlet_0152,536,79,0.47761194029850745,117,419,0.3495475113122172,309,0.9588863932327555,152,0.1790180365813532,0.7191119265119659,0.10187003690668095
dirichlet_0153,745,95,0.3825503355704698,189,556,0.5526024363233666,499,0.9661087910424772,153,0.18749303678345605,0.20035235494756018,0.6121546082689837
dirichlet_0154,567,73,0.47971781305114636,141,426,0.4117647058823529,357,0.9679849975851311,154,0.29306400575365277,0.6249143067864399,0.0820216874599072
dirichlet_0155,755,96,0.3841059602649007,180,575,0.4437627811860941,434,0.9625274629701351,155,0.08972065995197016,0.12809893285989912,0.7821804071881308
dirichlet_0156,710,86,0.36619718309859156,189,521,0.7391857506361323,581,0.9688737529877767,156,0.31175711486371505,0.26669000510032076,0.4215528800359642
dirichlet_0157,531,79,0.4821092278719397,107,424,0.28293736501079914,262,0.9483575153930737,157,0.11086078169213646,0.8405343611544317,0.04860485715343185
dirichlet_0158,753,96,0.3784860557768924,188,565,0.40298507462686567,405,0.9586075726882629,158,0.0748957005248575,0.0644162694849387,0.8606880299902038
dirichlet_0159,653,79,0.34150076569678406,223,430,0.46368715083798884,415,0.9348082891603492,159,0.5765386441436099,0.0007982711566966918,0.42266308469969344
dirichlet_0160,736,98,0.3845108695652174,166,570,0.5075757575757576,469,0.9711591413162769,160,0.045993302159287146,0.3081266735743747,0.6458800242663381
dirichlet_0161,722,91,0.37534626038781166,181,541,0.6455847255369929,541,0.970548977923572,161,0.2079824095418598,0.27241589535762895,0.5196016951005114
dirichlet_0162,763,98,0.37876802096985585,172,591,0.46542827657378744,451,0.9686056632755587,162,0.026896877404868055,0.2330882999365813,0.7400148226585505
dirichlet_0163,751,93,0.3848202396804261,197,554,0.4560496380558428,441,0.9567521050099452,163,0.1748801882291767,0.0767292656366454,0.7483905461341778
dirichlet_0164,572,86,0.47027972027972026,121,451,0.38400900900900903,341,0.9612603006137108,164,0.1242960650465601,0.6593228770321583,0.21638105792128154
dirichlet_0165,694,79,0.3515850144092219,205,489,0.6495726495726496,532,0.9628265963298077,165,0.4639530936041006,0.24145123245599642,0.29459567393990294
dirichlet_0166,734,68,0.47002724795640327,287,447,0.252025202520252,280,0.9291476559881272,166,0.9933424654218306,0.0022534514470156533,0.00440408313115388
dirichlet_0167,710,85,0.3619718309859155,200,510,0.7458492975734355,584,0.9674988036495544,167,0.3924062923837534,0.27453787812962305,0.3330558294866236
dirichlet_0168,534,78,0.49250936329588013,115,419,0.3367003367003367,300,0.9563030525413114,168,0.19226815814548204,0.7640936636327111,0.04363817822180675
dirichlet_0169,763,69,0.48099606815203144,296,467,0.2827461607949413,313,0.9416650783135814,169,0.8669773176125253,0.12792223053789528,0.005100451849579445
dirichlet_0170,756,70,0.458994708994709,285,471,0.32303370786516855,345,0.9467742366663469,170,0.7938356827947906,0.17045134231388998,0.03571297489131935
dirichlet_0171,742,75,0.4002695417789757,254,488,0.4914712153518124,461,0.9577568965905877,171,0.5995140712089618,0.23523573257657068,0.1652501962144674
dirichlet_0172,705,81,0.36737588652482267,205,500,0.6794081381011098,551,0.967968073868342,172,0.4379878102693807,0.30193245703068305,0.2600797326999363
dirichlet_0173,713,84,0.3688639551192146,210,503,0.5985997666277713,513,0.9576128493757174,173,0.3594060747307842,0.1487036409918092,0.49189028427740655
dirichlet_0174,545,78,0.47522935779816516,126,419,0.3659090909090909,322,0.9610479054699822,174,0.2053499846225821,0.6996607398742793,0.09498927550313861
dirichlet_0175,742,75,0.4002695417789757,256,486,0.4867162592986185,458,0.9573560426943282,175,0.6058908164631267,0.23294386553038335,0.16116531800649003
dirichlet_0176,712,75,0.4297752808988764,220,492,0.5330347144456887,476,0.9691556224098016,176,0.5157399687874278,0.3738587976183566,0.11040123359421554
dirichlet_0177,665,80,0.35037593984962406,217,448,0.4738015607580825,425,0.9379433114547948,177,0.4856636046250481,0.0021673884981243765,0.5121690068768276
dirichlet_0178,742,99,0.38544474393531,164,578,0.49306296691568835,462,0.9710245515616096,178,0.02860738846768233,0.3138781703412051,0.6575144411911126
dirichlet_0179,621,82,0.44605475040257647,151,470,0.5070754716981132,430,0.9722351555100371,179,0.2576601927393776,0.5306083174239671,0.21173148983665535
dirichlet_0180,710,97,0.38873239436619716,153,557,0.5038503850385039,458,0.9713796138466037,180,0.02370034592027908,0.36342775935175725,0.6128718947279636
dirichlet_0181,583,94,0.41337907375643224,119,464,0.4957780458383595,411,0.9660288303227087,181,0.0350268041998835,0.5448505248978124,0.42012267090230404
dirichlet_0182,684,84,0.3815789473684211,198,486,0.48013245033112584,435,0.9443279290980469,182,0.37012839271907455,0.02018364554791166,0.6096879617330139
dirichlet_0183,729,71,0.42661179698216734,277,452,0.3162393162393162,333,0.9363102427244707,183,0.8408171125650191,0.06499420324534044,0.09418868418964046
