ref_no,reference,doi,doi_syntax_status,verification_note
35,"Hassani, A., Moran, D. D. & Schneider, P. Global mapping of city-level economic growth decoupling from fossil fuels. Nat. Cities (2026). https://doi.org/10.1038/s44284-026-00440-0.",10.1038/s44284-026-00440-0,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
36,"Kim, S. K., Cho, H. & Guan, C. The gentrification paradox of green-blue adaptation in African cities. Nat. Cities (2026). https://doi.org/10.1038/s44284-026-00432-0.",10.1038/s44284-026-00432-0,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
37,"Liang, L., Han, S. S. & Day, J. How NGOs reshape urban green space justice in Beijing. Nat. Cities (2026). https://doi.org/10.1038/s44284-026-00431-1.",10.1038/s44284-026-00431-1,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
38,"Gao, S. et al. Impacts of nature-inclusive urban development on well-being and fairness perceptions. Nat. Cities 3, 416–427 (2026). https://doi.org/10.1038/s44284-026-00425-z.",10.1038/s44284-026-00425-z,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
39,"Chinazzo, G. & Rotta Loria, A. F. Thermal discomfort in urban underground metro systems. Nat. Cities (2026). https://doi.org/10.1038/s44284-026-00404-4.",10.1038/s44284-026-00404-4,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
40,"Ma, Y. et al. Empirical evidence of air pollution reduction from electric vehicle usage across Chinese cities. Nat. Cities 3, 251–260 (2026). https://doi.org/10.1038/s44284-026-00395-2.",10.1038/s44284-026-00395-2,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
41,"Fang, D., Xu, F. & Feng, K. Stress-testing the cascading economic impacts of urban flooding across 306 Chinese cities. Nat. Cities (2026). https://doi.org/10.1038/s44284-025-00372-1.",10.1038/s44284-025-00372-1,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
42,"Sevtsuk, A. et al. Spatial distribution of foot traffic in New York City and applications for urban planning. Nat. Cities 3, 136–145 (2026). https://doi.org/10.1038/s44284-025-00383-y.",10.1038/s44284-025-00383-y,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
43,"Rankin, K. H., Cabrera Serrenho, A. & Saxe, S. The climate limits of construction in over 1,000 cities. Nat. Cities (2025). https://doi.org/10.1038/s44284-025-00379-8.",10.1038/s44284-025-00379-8,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
44,"Yu, C., Yuan, Q. & Qin, Z. Increasing nationwide disparities in road freight emissions across cities. Nat. Cities (2025). https://doi.org/10.1038/s44284-025-00368-x.",10.1038/s44284-025-00368-x,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
45,"Useche, A. F., Rubio, M. A. & Sarmiento, O. L. Social capital of urban infrastructure with Bogotá’s cable car. Nat. Cities (2025). https://doi.org/10.1038/s44284-025-00366-z.",10.1038/s44284-025-00366-z,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
46,"Sheng, H., He, C. & Hu, W. Intercity economic ties amplify natural disaster spillovers in China. Nat. Cities (2026). https://doi.org/10.1038/s44284-026-00399-y.",10.1038/s44284-026-00399-y,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
47,"Yang, X., Jin, J. & Yang, J. Homogenization and differentiation of urban tree assemblages globally. Nat. Cities (2026). https://doi.org/10.1038/s44284-026-00393-4.",10.1038/s44284-026-00393-4,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
48,"Tautenhahn, S., Jung, M. & Wäldchen, J. Urbanization signatures on climate and soils uncovered by crowd-sensed plants. Nat. Cities (2025). https://doi.org/10.1038/s44284-025-00378-9.",10.1038/s44284-025-00378-9,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
49,"Bai, X. Post-2030 global goals need explicit targets for cities and businesses. Science 385, eadq4993 (2024). https://doi.org/10.1126/science.adq4993.",10.1126/science.adq4993,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
